FriendShip Between,Common Friends
61+38,3
61+51,3
61+10,4
61+26,4
61+9,3
61+48,3
61+43,2
61+54,5
61+53,4
61+65,2
61+24,2
61+4,4
61+41,2
61+58,3
61+18,5
61+52,2
61+28,6
61+19,6
61+32,4
61+22,2
61+44,1
61+20,4
61+39,3
61+42,4
61+29,1
61+15,4
61+12,3
61+46,3
61+64,2
61+59,2
61+34,5
61+35,3
61+8,4
61+11,4
61+57,1
61+27,3
61+33,5
61+49,4
61+50,2
61+25,1
61+55,2
61+13,3
61+31,2
61+47,2
61+40,2
61+1,4
61+45,4
61+23,2
38+61,3
38+16,3
38+7,2
38+10,3
38+26,4
38+63,2
38+6,2
38+43,6
38+36,2
38+54,2
38+65,2
38+30,4
38+24,2
38+4,4
38+41,4
38+58,1
38+28,7
38+19,3
38+44,2
38+20,4
38+17,2
38+39,1
38+42,2
38+29,4
38+15,2
38+12,3
38+64,3
38+34,2
38+8,3
38+11,4
38+62,2
38+27,3
38+33,3
38+49,4
38+50,4
38+37,2
38+25,5
38+55,3
38+5,2
38+47,5
38+60,5
38+3,4
38+40,2
38+1,4
38+45,2
38+23,2
16+61,1
16+38,3
16+7,2
16+56,3
16+51,5
16+10,1
16+26,4
16+9,6
16+21,5
16+14,2
16+48,5
16+36,3
16+54,4
16+30,2
16+24,4
16+41,2
16+18,3
16+52,4
16+28,3
16+2,3
16+32,1
16+22,3
16+20,3
16+17,4
16+39,4
16+12,5
16+46,6
16+64,3
16+59,5
16+34,3
16+35,4
16+11,2
16+62,6
16+33,6
16+49,5
16+50,3
16+37,3
16+25,4
16+13,5
16+5,4
16+47,3
16+60,5
16+3,5
16+40,1
16+1,5
16+45,3
16+23,4
7+38,2
7+16,2
7+56,2
7+51,4
7+10,2
7+26,4
7+21,2
7+63,1
7+14,1
7+6,1
7+48,4
7+54,2
7+53,4
7+65,4
7+30,1
7+4,1
7+41,2
7+18,3
7+52,2
7+28,3
7+2,4
7+19,1
7+32,1
7+22,1
7+44,3
7+20,4
7+29,1
7+15,2
7+12,2
7+46,2
7+35,4
7+8,1
7+11,1
7+62,3
7+27,2
7+33,4
7+49,2
7+50,1
7+25,3
7+55,3
7+13,2
7+5,2
7+31,1
7+47,3
7+60,1
7+40,3
7+1,6
7+45,4
7+23,3
56+61,3
56+16,3
56+7,2
56+51,2
56+10,2
56+26,2
56+21,5
56+6,2
56+48,2
56+43,3
56+36,3
56+54,3
56+53,3
56+65,1
56+30,4
56+24,1
56+58,3
56+2,2
56+19,3
56+32,2
56+22,4
56+44,2
56+20,1
56+17,3
56+42,2
56+29,2
56+15,5
56+12,2
56+46,2
56+64,4
56+35,2
56+8,1
56+11,4
56+62,5
56+33,3
56+49,2
56+50,4
56+25,3
56+55,1
56+13,3
56+5,4
56+31,2
56+47,1
56+40,4
56+1,5
56+45,3
56+23,2
51+61,3
51+16,5
51+7,4
51+56,2
51+10,4
51+26,6
51+9,1
51+21,4
51+63,2
51+14,1
51+48,1
51+43,1
51+36,2
51+54,4
51+53,2
51+65,1
51+30,2
51+24,2
51+58,3
51+18,3
51+52,5
51+28,3
51+2,2
51+32,2
51+22,5
51+44,5
51+20,1
51+39,3
51+15,1
51+46,2
51+64,4
51+59,3
51+8,2
51+11,3
51+57,1
51+62,4
51+27,5
51+49,2
51+50,2
51+37,2
51+25,3
51+13,4
51+5,3
51+31,1
51+60,5
51+40,3
51+1,7
51+45,1
10+61,4
10+38,3
10+16,1
10+56,2
10+51,4
10+26,5
10+9,5
10+63,2
10+14,3
10+6,3
10+48,3
10+43,2
10+36,3
10+53,2
10+65,1
10+24,1
10+4,2
10+58,2
10+52,3
10+28,3
10+2,7
10+19,2
10+32,3
10+22,4
10+44,2
10+17,1
10+39,2
10+29,3
10+15,3
10+12,3
10+46,1
10+64,4
10+59,2
10+35,2
10+8,1
10+11,4
10+57,1
10+27,3
10+33,3
10+49,2
10+50,3
10+25,2
10+5,4
10+31,2
10+47,2
10+60,2
10+3,5
10+40,5
10+45,4
26+38,4
26+7,4
26+56,2
26+51,6
26+10,5
26+9,4
26+21,3
26+6,5
26+48,6
26+43,2
26+36,4
26+54,3
26+53,4
26+65,4
